# Changed 422 packets in the network 192.168.0.1/24:
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.8904 time:0.97944
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.9 time:0.99
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:290.0 time:319.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:313.1024 time:344.41264
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:15.4752 time:17.02272
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.9098 time:1.00078
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:15.4266 time:16.969260000000002
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.0213 time:0.02343
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:1.0 time:1.1
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:220.0 time:242.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:313.1218 time:344.43398
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:7.2976 time:8.02736
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:100.0 time:110.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.02 time:0.022
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.0 time:0.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:3.0 time:3.3
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.0 time:0.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:1.0 time:1.1
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.8986 time:0.9884599999999999
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:290.0 time:319.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:313.0911 time:344.40020999999996
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:15.4761 time:17.02371
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.9098 time:1.00078
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:15.4262 time:16.96882
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.0154 time:0.01694
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:1.0 time:1.1
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.0833 time:0.09163
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.9 time:0.99
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:320.0 time:352.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:15.5 time:17.05
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:15.9 time:17.490000000000002
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.5 time:0.55
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:220.0 time:242.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:312.9992 time:344.29911999999996
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:7.3362 time:8.06982
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:100.0 time:110.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.02 time:0.022
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:30.0 time:33.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:80.0 time:88.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.9047 time:0.9951699999999999
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.9 time:0.99
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:290.0 time:319.0
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:312.9841 time:344.28251
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:15.4646 time:17.01106
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.9098 time:1.00078
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:15.4164 time:16.95804
sip:192.168.0.11 dip192.168.0.21 port:38954 command:3 address:0.0 value:0.0133 time:0.014629999999999999
